Category,Fuel,Segment,Euro.Standard,Technology,Pollutant,Mode,Road.Slope,Load,Min.Speed.[km/h],Max.Speed.[km/h],Alpha,Beta,Gamma,Delta,Epsilon,Zita,Hta,Thita,Reduction.Factor.[%],Bio.Reduction.Factor.[%],120
Buses,Diesel,Coaches Articulated >18 t,Euro III,,PM,,-0.06,0.5,12,105,5.22735797671511e-06,-0.00307786146799716,0.270908768942885,2.8117683203235,-0.000347648931138833,0.0376498452689417,0.49251959441145,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,PM,,-0.06,1,12,105,-7.82729550009106e-05,0.0380631557015972,-0.0230705679433463,-3.97077969503574,0.00528232661519158,0.0116635950631047,-0.722280409791423,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,PM,,-0.04,0,12,105,3.98493775022015e-06,-0.00204518862549785,0.250309950886348,2.21319097264506,-0.000156006826527818,0.0308426561673094,0.345189707314416,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,PM,,-0.04,0.5,12,105,4.89671376242141e-06,-0.0026019112887337,0.268478675254465,2.52165785925476,-0.00024163704536873,0.0343278315652524,0.413342603402272,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,PM,,-0.04,1,12,105,7.03091600000039e-06,-0.00360352280213055,0.329381733197184,3.15238890055036,-0.000347134098340794,0.04158788417012,0.549684773580641,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,PM,,-0.02,0,12,105,2.86597417689718e-07,0.00221766861994738,0.309661829343499,3.93292442820314,0.000195723996814487,0.0365475426846425,0.607388912510172,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,PM,,-0.02,0.5,12,105,-0.000101920456533205,0.0576467369592035,1.64308083710047,3.00948978059344,0.00603565384802954,0.228645889600391,0.642861259578343,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,PM,,-0.02,1,12,105,-0.0001597240809292,0.0704618958827422,0.633419567831194,-3.76780393035436,0.00738700945148613,0.120293027925324,-0.596160398705429,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,PM,,0,0,12,105,0.00014269453593395,0.0494821641541038,0.0347316348060025,-4.39061518562787,0.00612838224712166,0.0236026057839119,-0.703693783051126,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,PM,,0,0.5,12,105,-1.24881866749167e-05,-0.00102127399235347,0.583174469233179,4.55987768910544,-0.000415340109431043,0.0714834114619914,0.746995553978846,0,0,0,105
